FindingID,ReviewID,Protocol,InterventionID,Intervention_Name,Comparison,OutcomeMeasureID,Outcome_Measure,Outcome_Domain,Period,Sample_Description,Is_Subgroup,Outcome_Sample_Size,Outcome_Measure_Intervention_Sample_Size,Outcome_Measure_Comparison_Sample_Size,Intervention_Clusters_Sample_Size,Comparison_Clusters_Sample_Size,Intervention_Mean,Comparison_Mean,Intervention_Standard_Deviation,Comparison_Standard_Deviation,Effect_Size_Study,Effect_Size_WWC,Improvement_Index,p_Value_Study,p_Value_WWC,ICC,Clusters_Total,Is_Statistically_Significant,Finding_Rating,ESSA_Rating,L1_Unit_of_Analysis,FavorableUnfavorableDesignation
9,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,596,Perceptions of social and resistance skills,"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,302,151,151,,,4.08,3.77,0.58,0.61,0.52,0.519539726,20,,8.97592977211481E-06,,,TRUE,,Evidence Tier 3,Student,
10,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,593,Perceptions of emotional competence,"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,302,151,151,,,4.04,3.72,0.62,0.65,0.5,0.502535926,19,,1.91231859044683E-05,,,TRUE,,Evidence Tier 3,Student,
11,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,598,Positive attitudes towards nonviolence,"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,302,151,151,,,3.78,3.52,0.79,0.78,0.33,0.330374773,13,,0.004431846,,,TRUE,,Evidence Tier 3,Student,
13,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,594,Perceptions of goal setting and decisionmaking skills,"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,302,151,151,,,3.59,3.43,0.93,0.82,0.18,0.182040351,7,,0.118863967,,,FALSE,,,Student,
18,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,577,Intentions for marijuana,"Knowledge, attitudes, & values",Follow-up,Grade 6,FALSE,6,3,3,,,,,,,0.23,,9,,0.789466763,,,FALSE,,,Student,
21,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,600,Prosocial peers,"Knowledge, attitudes, & values",Follow-up,Grade 6,FALSE,6,3,3,,,4.58,4.5,0.74,0.86,0.1,0.079775945,4,,0.907293683,,,FALSE,,,Student,
24,50933,Character Education,250,Too Good For Violence (TGFV),None,307,Teacher checklist of Student Behaviors- Total score,Behavior,20 week follow-up,Grade 3,FALSE,998,499,499,,,4.17,3.86,0.16,0.82,0.47,0.524350572,18,,1.1829426327381E-12,,,TRUE,,Evidence Tier 3,Student,
35,50135,Character Education,103,Caring School Community (CSC),unknown,297,Spontaneous prosocial behavior,Behavior,,Grades K–4,FALSE,350,175,175,3,3,53.36,45.85,10,10,0.74,0.749380302,27,,2.70490296827575E-11,,,TRUE,,,Student,
36,50135,Character Education,103,Caring School Community (CSC),unknown,272,Harmoniousness,Behavior,,Grades K–4,FALSE,350,175,175,3,3,50.43,49.47,10,10,0.09,0.095792955,4,,0.400529693,,,FALSE,,,Student,
40,50390,Character Education,187,Lessons in Character,unknown,580,Moral development,"Knowledge, attitudes, & values",ANCOVA,Grade 5,FALSE,61,31,30,9,6,2.2,2.17,0.29,0.27,0.11,0.105643834,4,,0.66909351,,,FALSE,,,Student,
42,50142,Character Education,103,Caring School Community (CSC),None,312,Use of alcohol,Behavior,,Grade 5-6,FALSE,635,345,290,5,5,0.27,0.29,0.39,0.4,0.05,0.050624546,2,,0.530735131,,,FALSE,,,Student,
49,50142,Character Education,103,Caring School Community (CSC),None,260,"Carried a knife, gun, or other weapon",Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.24,0.23,0.49,0.45,-0.02,-0.021154232,-1,,0.801951133,,,FALSE,,,Student,
50,50142,Character Education,103,Caring School Community (CSC),None,308,Threatened to hurt someone,Behavior,,Grades 5–6,FALSE,635,345,290,5,5,0.45,0.43,0.56,0.57,-0.04,-0.035382102,-2,,0.615972438,,,FALSE,,,Student,
1,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,596,Perceptions of social and resistance skills,"Knowledge, attitudes, & values",,Grades 9 - 12,FALSE,200,100,100,,,4.07,3.73,0.56,0.67,0.56,0.54855948,21,,0.000104409,,,TRUE,,Evidence Tier 3,Student,
